id,age,job,marital,education,preferred_contact,balance,loan_house,loan_personal,n_marketing_contacts,marketing_potential,call_length,investment,period
1,31,management,single,tertiary,cellular,115,no,no,0,uknown,187,256.52,0
2,46,admin.,married,primary,NA,40,yes,no,0,uknown,591,0,0
3,51,blue-collar,married,secondary,NA,0,no,yes,0,uknown,179,0,0
4,49,blue-collar,married,secondary,cellular,1127,yes,yes,1,low,162,0,0
5,50,services,married,secondary,NA,5699,yes,no,0,uknown,381,0,0
6,23,management,single,tertiary,cellular,1004,yes,no,0,uknown,114,0,0
7,42,admin.,divorced,secondary,NA,153,yes,no,0,uknown,844,250.31,0
8,40,blue-collar,single,secondary,cellular,3571,yes,no,0,uknown,262,0,0
9,35,blue-collar,married,secondary,NA,412,yes,no,0,uknown,316,0,0
10,43,blue-collar,divorced,primary,cellular,515,yes,no,0,uknown,182,0,0
11,35,management,married,tertiary,NA,949,yes,no,0,uknown,245,0,0
12,30,technician,single,secondary,NA,167,no,no,0,uknown,9,0,0
13,32,technician,single,tertiary,telephone,5514,no,no,0,uknown,181,782.06,0
14,44,management,married,tertiary,cellular,0,no,no,0,uknown,122,0,0
15,47,management,married,tertiary,telephone,4386,yes,no,0,uknown,43,0,0
16,32,technician,single,tertiary,cellular,6284,no,no,0,uknown,167,0,0
17,61,retired,married,NA,cellular,209,no,no,4,high,1011,0,0
18,31,services,married,secondary,NA,500,yes,no,0,uknown,19,0,0
19,47,blue-collar,married,secondary,cellular,-216,yes,no,3,low,197,0,0
20,59,retired,married,secondary,cellular,0,no,no,6,uknown,363,0,0
21,27,technician,divorced,secondary,cellular,162,yes,no,0,uknown,203,0,0
22,36,technician,single,tertiary,cellular,391,yes,no,8,low,185,0,0
23,48,blue-collar,married,NA,cellular,617,yes,no,0,uknown,33,0,0
24,37,blue-collar,married,primary,cellular,3051,no,no,0,uknown,386,0,0
25,38,services,married,secondary,cellular,5293,yes,no,6,low,475,766.41,0
26,35,self-employed,single,tertiary,cellular,353,no,no,0,uknown,582,303.14,0
27,34,blue-collar,divorced,secondary,NA,383,yes,no,0,uknown,2231,293.64,0
28,55,technician,married,secondary,cellular,955,yes,no,0,uknown,104,0,0
29,31,management,single,tertiary,cellular,1017,no,no,0,uknown,83,0,0
30,50,blue-collar,married,primary,cellular,604,no,no,0,uknown,104,0,0
31,44,technician,married,tertiary,cellular,0,yes,yes,2,low,286,0,0
32,43,self-employed,married,tertiary,cellular,10072,no,no,5,low,98,0,0
33,63,retired,married,secondary,cellular,1495,no,no,5,high,138,0,0
34,35,technician,married,secondary,telephone,481,yes,yes,1,uknown,141,0,0
35,33,admin.,married,tertiary,cellular,55,yes,no,0,uknown,384,0,0
36,39,blue-collar,married,secondary,cellular,1382,yes,no,0,uknown,397,391.29,0
37,26,blue-collar,single,secondary,NA,-132,no,no,0,uknown,12,0,0
38,31,admin.,single,secondary,NA,-449,yes,no,0,uknown,81,0,0
39,41,blue-collar,married,primary,NA,2770,yes,yes,0,uknown,191,0,0
40,32,technician,single,secondary,cellular,-398,no,yes,0,uknown,387,0,0
41,41,admin.,single,secondary,cellular,2002,yes,no,1,low,172,0,0
42,42,blue-collar,married,primary,NA,3405,yes,no,0,uknown,221,0,0
43,25,technician,single,secondary,cellular,2157,yes,no,0,uknown,339,0,0
44,46,technician,divorced,secondary,NA,1,yes,yes,0,uknown,200,0,0
45,28,services,divorced,secondary,NA,89,no,no,0,uknown,174,0,0
46,32,technician,single,tertiary,cellular,127,no,no,0,uknown,168,0,0
47,56,technician,divorced,secondary,NA,77,yes,yes,0,uknown,25,0,0
48,42,blue-collar,married,primary,cellular,560,yes,yes,2,low,122,0,0
49,43,blue-collar,married,secondary,NA,-7,no,no,0,uknown,70,0,0
50,39,management,married,primary,NA,0,no,no,0,uknown,308,0,0
51,31,admin.,single,tertiary,NA,701,yes,no,0,uknown,301,0,0
52,35,blue-collar,married,tertiary,cellular,199,yes,yes,0,uknown,176,0,0
53,47,services,married,secondary,cellular,651,no,yes,0,uknown,325,0,0
54,33,management,single,tertiary,cellular,0,yes,no,0,uknown,116,0,0
55,51,entrepreneur,married,tertiary,cellular,36935,yes,no,0,uknown,41,0,0
56,33,management,single,tertiary,cellular,6807,no,no,0,uknown,163,1601,0
57,30,unemployed,married,secondary,NA,142,yes,no,0,uknown,350,0,0
58,33,admin.,single,secondary,cellular,2717,yes,no,0,uknown,185,0,0
59,84,entrepreneur,married,secondary,telephone,0,no,no,0,uknown,992,261.31,0
60,30,blue-collar,married,secondary,cellular,0,yes,yes,0,uknown,1399,0,0
61,28,technician,married,secondary,NA,487,yes,no,0,uknown,176,0,0
62,39,technician,single,tertiary,cellular,1190,no,no,0,uknown,136,0,0
63,54,services,single,secondary,NA,8289,no,no,0,uknown,133,0,0
64,37,blue-collar,married,secondary,cellular,22341,yes,no,0,uknown,175,0,0
65,31,blue-collar,single,secondary,cellular,5607,no,no,1,low,183,0,0
66,28,technician,single,secondary,cellular,799,yes,no,0,uknown,295,0,0
67,57,retired,married,secondary,telephone,3815,no,no,0,uknown,90,0,0
68,55,technician,married,secondary,cellular,361,yes,yes,0,uknown,292,0,0
69,48,services,married,secondary,cellular,2877,yes,no,1,low,77,0,0
70,29,management,single,tertiary,cellular,-11,yes,no,0,uknown,164,0,0
71,26,admin.,single,tertiary,cellular,689,no,no,0,uknown,78,0,0
72,33,blue-collar,divorced,secondary,NA,60,no,no,0,uknown,190,0,0
73,57,management,married,primary,cellular,6900,no,no,2,low,255,1619.07,0
74,37,blue-collar,married,primary,cellular,623,no,no,0,uknown,267,0,0
75,45,blue-collar,married,primary,cellular,353,yes,no,1,low,204,0,0
76,31,entrepreneur,married,secondary,cellular,10,yes,yes,9,low,161,0,0
77,35,technician,married,secondary,cellular,0,yes,yes,0,uknown,199,0,0
78,47,retired,married,primary,NA,-468,no,yes,0,uknown,268,0,0
79,27,blue-collar,single,secondary,NA,1401,yes,no,0,uknown,392,0,0
80,40,technician,single,secondary,NA,360,yes,no,0,uknown,73,0,0
81,40,unemployed,single,tertiary,cellular,7968,no,no,0,uknown,596,421.57,0
82,40,blue-collar,married,secondary,NA,4259,no,no,0,uknown,454,0,0
83,38,blue-collar,married,secondary,NA,648,yes,no,0,uknown,179,0,0
84,41,technician,single,secondary,cellular,650,yes,no,0,uknown,2420,291.69,0
85,32,blue-collar,married,secondary,NA,-428,yes,no,0,uknown,518,0,0
86,49,technician,married,secondary,NA,3410,no,no,0,uknown,130,0,0
87,31,services,married,secondary,cellular,0,yes,no,0,uknown,224,0,0
88,60,retired,married,secondary,cellular,5207,no,no,0,uknown,160,0,0
89,58,technician,divorced,secondary,cellular,-354,yes,yes,0,uknown,98,0,0
90,36,services,single,secondary,cellular,1482,yes,no,1,uknown,177,0,0
91,44,services,married,secondary,NA,382,no,no,0,uknown,1167,0,0
92,41,management,married,tertiary,cellular,3769,yes,no,0,uknown,94,0,0
